category,yyyy,mm,platform_type,gmv
여행 및 교통서비스,2017,12,web,"522,992"
문화 및 레저서비스,2017,12,web,"71,778"
e쿠폰서비스,2017,12,web,"27,963"
음식서비스,2017,12,web,"40,576"
기타서비스,2017,12,web,"31,087"
기타,2017,12,web,"133,830"
컴퓨터 및 주변기기,2018,1,mobile,"187,441"
가전·전자·통신기기,2018,1,mobile,"459,257"
서적,2018,1,mobile,"64,132"
사무·문구,2018,1,mobile,"26,473"
의복,2018,1,mobile,"571,852"
신발,2018,1,mobile,"85,859"
가방,2018,1,mobile,"135,151"
패션용품 및 액세서리,2018,1,mobile,"128,067"
스포츠·레저용품,2018,1,mobile,"126,246"
화장품,2018,1,mobile,"434,948"
아동·유아용품,2018,1,mobile,"219,323"
음·식료품,2018,1,mobile,"560,272"
농축수산물,2018,1,mobile,"168,319"
생활용품,2018,1,mobile,"449,370"
자동차 및 자동차용품,2018,1,mobile,"45,677"
가구,2018,1,mobile,"159,155"
애완용품,2018,1,mobile,"47,640"
여행 및 교통서비스,2018,1,mobile,"805,804"
문화 및 레저서비스,2018,1,mobile,"118,365"
e쿠폰서비스,2018,1,mobile,"85,532"
음식서비스,2018,1,mobile,"309,665"
기타서비스,2018,1,mobile,"30,782"
기타,2018,1,mobile,"117,870"
컴퓨터 및 주변기기,2018,1,web,"324,233"
가전·전자·통신기기,2018,1,web,"398,999"
서적,2018,1,web,"107,123"
사무·문구,2018,1,web,"46,397"
의복,2018,1,web,"392,385"
신발,2018,1,web,"45,709"
가방,2018,1,web,"51,391"
패션용품 및 액세서리,2018,1,web,"67,231"
스포츠·레저용품,2018,1,web,"104,533"
화장품,2018,1,web,"335,960"
아동·유아용품,2018,1,web,"75,872"
음·식료품,2018,1,web,"286,550"
농축수산물,2018,1,web,"83,591"
생활용품,2018,1,web,"261,059"
자동차 및 자동차용품,2018,1,web,"31,543"
가구,2018,1,web,"92,737"
애완용품,2018,1,web,"24,538"
여행 및 교통서비스,2018,1,web,"685,630"
문화 및 레저서비스,2018,1,web,"64,022"
e쿠폰서비스,2018,1,web,"20,062"
음식서비스,2018,1,web,"37,792"
기타서비스,2018,1,web,"42,361"
기타,2018,1,web,"110,089"
컴퓨터 및 주변기기,2018,2,mobile,"177,621"
가전·전자·통신기기,2018,2,mobile,"418,685"
서적,2018,2,mobile,"54,689"
사무·문구,2018,2,mobile,"25,271"
의복,2018,2,mobile,"489,051"
신발,2018,2,mobile,"83,720"
가방,2018,2,mobile,"129,877"
패션용품 및 액세서리,2018,2,mobile,"117,814"
스포츠·레저용품,2018,2,mobile,"109,501"
화장품,2018,2,mobile,"429,497"
아동·유아용품,2018,2,mobile,"197,372"
음·식료품,2018,2,mobile,"518,213"
농축수산물,2018,2,mobile,"172,972"
생활용품,2018,2,mobile,"401,715"
자동차 및 자동차용품,2018,2,mobile,"39,074"
가구,2018,2,mobile,"152,372"
애완용품,2018,2,mobile,"40,717"
여행 및 교통서비스,2018,2,mobile,"698,011"
문화 및 레저서비스,2018,2,mobile,"90,396"
e쿠폰서비스,2018,2,mobile,"108,408"
음식서비스,2018,2,mobile,"288,800"
기타서비스,2018,2,mobile,"30,542"
기타,2018,2,mobile,"132,678"
컴퓨터 및 주변기기,2018,2,web,"275,786"
가전·전자·통신기기,2018,2,web,"351,716"
서적,2018,2,web,"93,094"
사무·문구,2018,2,web,"46,450"
의복,2018,2,web,"336,102"
신발,2018,2,web,"40,727"
가방,2018,2,web,"48,277"
패션용품 및 액세서리,2018,2,web,"60,565"
스포츠·레저용품,2018,2,web,"91,209"
화장품,2018,2,web,"316,879"
아동·유아용품,2018,2,web,"71,246"
음·식료품,2018,2,web,"296,445"
농축수산물,2018,2,web,"116,806"
생활용품,2018,2,web,"234,324"
자동차 및 자동차용품,2018,2,web,"26,428"
가구,2018,2,web,"89,192"
애완용품,2018,2,web,"20,227"
여행 및 교통서비스,2018,2,web,"548,038"
문화 및 레저서비스,2018,2,web,"61,442"
e쿠폰서비스,2018,2,web,"20,823"
음식서비스,2018,2,web,"35,445"
기타서비스,2018,2,web,"27,138"
기타,2018,2,web,"91,943"
컴퓨터 및 주변기기,2018,3,mobile,"193,113"
가전·전자·통신기기,2018,3,mobile,"510,861"
서적,2018,3,mobile,"70,476"
사무·문구,2018,3,mobile,"30,649"
의복,2018,3,mobile,"680,287"
신발,2018,3,mobile,"113,113"
가방,2018,3,mobile,"143,810"
패션용품 및 액세서리,2018,3,mobile,"138,381"
스포츠·레저용품,2018,3,mobile,"160,529"
화장품,2018,3,mobile,"439,877"
아동·유아용품,2018,3,mobile,"214,584"
음·식료품,2018,3,mobile,"534,601"
농축수산물,2018,3,mobile,"152,387"
생활용품,2018,3,mobile,"468,022"
자동차 및 자동차용품,2018,3,mobile,"47,231"
가구,2018,3,mobile,"174,549"
애완용품,2018,3,mobile,"45,674"
